Date,Amount,Description
2023-02-24,18.91,8810 Debit Card Purchase DD Doordash Shalimarr
2023-02-27,1.0,Zel To Sachin Salim
2023-02-27,1.0,Zel To Sachin Salim
2023-02-27,18.68,8810 Debit Card Purchase DD Doordash Shrimpfla
2023-02-27,26.0,Zel From Vishwa Tiwari
2023-02-27,100.0,Zel To Sachin Salim
2023-02-27,250.0,Zel From Nowrin Mohamed
2023-03-02,12.86,8810 Debit Card Purchase McDonald's 39235
2023-03-02,28.0,Zel From Karishma Anandan
2023-03-03,4.26,8810 Debit Card Purchase Amazon web services
2023-03-03,4.99,Debit Card Credit Doordash Dashpass
2023-03-03,23.22,8810 Debit Card Purchase Ic* Instacart*1102
2023-03-03,33.28,8810 Debit Card Purchase DD Doordash Tasteofin
2023-03-06,72.1,8810 Debit Card Purchase Mattson and Mattson Ll
2023-03-08,42.39,8810 Debit Card Purchase Apple.Com/Bill
2023-03-09,10.0,POS Purchase Om Market Ann Arbor Mi
2023-03-09,10.59,8810 Debit Card Purchase Snack* Ahmos North Cam
2023-03-09,24.27,8810 Debit Card Purchase Grubhubindiacafe
2023-03-13,7.93,8810 Debit Card Purchase Uber Help.Uber.C Ca
2023-03-15,3.19,8810 Debit Card Purchase Fireside Cafe Ann Arb
2023-03-16,9.86,8810 Debit Card Purchase Panda Express #1124
2023-03-20,0.99,8810 Recurring Debit Card Apple.Com/Bill
2023-03-29,26.0,Zel From Vishnupriya Ramani
2023-03-29,26.0,Zel From Shrikant Arvavasu
2023-03-29,56.31,Zel From Vishwa Tiwari
2023-04-03,8.6,8810 Debit Card Purchase Amazon web services
2023-04-10,42.39,8810 Recurring Debit Card Apple.Com/Bill
2023-05-03,8.6,8810 Debit Card Purchase Amazon web
2023-05-22,62.16,Zel From Vishnupriya Ramani
2023-05-25,62.14,Zel From Shrikant Arvavasu
2023-06-21,181.41,Web Pmt- Transfer Chasbk Ck Webxfr
